team1,team2,score1,score2,RESULT,SCORE_DIFF
Memphis Grizzlies,Oklahoma City Thunder,121,92,W,29
Orlando Magic,Philadelphia 76ers,101,108,L,-7
Philadelphia 76ers,Orlando Magic,108,101,W,7
Portland Trail Blazers,Denver Nuggets,125,115,W,10
Denver Nuggets,Portland Trail Blazers,115,125,L,-10
Los Angeles Clippers,Dallas Mavericks,126,111,W,15
Dallas Mavericks,Los Angeles Clippers,111,126,L,-15
Indiana Pacers,Phoenix Suns,99,114,L,-15
Phoenix Suns,Indiana Pacers,114,99,W,15
Miami Heat,Milwaukee Bucks,116,130,L,-14
Milwaukee Bucks,Miami Heat,130,116,W,14
Los Angeles Lakers,Houston Rockets,97,113,L,-16
Houston Rockets,Los Angeles Lakers,113,97,W,16
New Orleans Pelicans,Sacramento Kings,125,140,L,-15
Sacramento Kings,New Orleans Pelicans,140,125,W,15
Brooklyn Nets,Boston Celtics,115,149,L,-34
Boston Celtics,Brooklyn Nets,149,115,W,34
Toronto Raptors,Orlando Magic,109,99,W,10
Orlando Magic,Toronto Raptors,99,109,L,-10
Memphis Grizzlies,Utah Jazz,115,124,L,-9
Utah Jazz,Memphis Grizzlies,124,115,W,9
Philadelphia 76ers,Washington Wizards,107,98,W,9
Washington Wizards,Philadelphia 76ers,98,107,L,-9
Oklahoma City Thunder,Los Angeles Lakers,105,86,W,19
Los Angeles Lakers,Oklahoma City Thunder,86,105,L,-19
Denver Nuggets,San Antonio Spurs,132,126,W,6
San Antonio Spurs,Denver Nuggets,126,132,L,-6
Houston Rockets,Portland Trail Blazers,102,110,L,-8
Portland Trail Blazers,Houston Rockets,110,102,W,8
Dallas Mavericks,Sacramento Kings,114,110,W,4
Sacramento Kings,Dallas Mavericks,110,114,L,-4
Phoenix Suns,Los Angeles Clippers,117,115,W,2
Los Angeles Clippers,Phoenix Suns,115,117,L,-2
Orlando Magic,Indiana Pacers,109,120,L,-11
Indiana Pacers,Orlando Magic,120,109,W,11
Brooklyn Nets,Milwaukee Bucks,119,116,W,3
Milwaukee Bucks,Brooklyn Nets,116,119,L,-3
Boston Celtics,Miami Heat,106,112,L,-6
Miami Heat,Boston Celtics,112,106,W,6
Los Angeles Lakers,Utah Jazz,116,108,W,8
Utah Jazz,Los Angeles Lakers,108,116,L,-8
Toronto Raptors,Miami Heat,107,103,W,4
Miami Heat,Toronto Raptors,103,107,L,-4
Memphis Grizzlies,New Orleans Pelicans,99,109,L,-10
New Orleans Pelicans,Memphis Grizzlies,109,99,W,10
San Antonio Spurs,Philadelphia 76ers,130,132,L,-2
Philadelphia 76ers,San Antonio Spurs,132,130,W,2
Indiana Pacers,Washington Wizards,111,100,W,11
Washington Wizards,Indiana Pacers,100,111,L,-11
Denver Nuggets,Oklahoma City Thunder,121,113,W,8
Oklahoma City Thunder,Denver Nuggets,113,121,L,-8
Milwaukee Bucks,Houston Rockets,116,120,L,-4
Houston Rockets,Milwaukee Bucks,120,116,W,4
Washington Wizards,Brooklyn Nets,110,118,L,-8
Brooklyn Nets,Washington Wizards,118,110,W,8
Sacramento Kings,Orlando Magic,116,132,L,-16
Orlando Magic,Sacramento Kings,132,116,W,16
Portland Trail Blazers,Boston Celtics,124,128,L,-4
Boston Celtics,Portland Trail Blazers,128,124,W,4
San Antonio Spurs,Memphis Grizzlies,108,106,W,2
Memphis Grizzlies,San Antonio Spurs,106,108,L,-2
Dallas Mavericks,Phoenix Suns,115,117,L,-2
Phoenix Suns,Dallas Mavericks,117,115,W,2
Utah Jazz,Oklahoma City Thunder,94,110,L,-16
Oklahoma City Thunder,Utah Jazz,110,94,W,16
Philadelphia 76ers,Indiana Pacers,121,127,L,-6
Indiana Pacers,Philadelphia 76ers,127,121,W,6
Los Angeles Lakers,Toronto Raptors,92,107,L,-15
Toronto Raptors,Los Angeles Lakers,107,92,W,15
New Orleans Pelicans,Los Angeles Clippers,103,126,L,-23
Los Angeles Clippers,New Orleans Pelicans,126,103,W,23
Miami Heat,Denver Nuggets,125,105,W,20
Denver Nuggets,Miami Heat,105,125,L,-20
Phoenix Suns,Washington Wizards,125,112,W,13
Washington Wizards,Phoenix Suns,112,125,L,-13
Memphis Grizzlies,Portland Trail Blazers,135,140,L,-5
Portland Trail Blazers,Memphis Grizzlies,140,135,W,5
Houston Rockets,Dallas Mavericks,153,149,W,4
Dallas Mavericks,Houston Rockets,149,153,L,-4
Boston Celtics,Milwaukee Bucks,112,119,L,-7
Milwaukee Bucks,Boston Celtics,119,112,W,7
Orlando Magic,Brooklyn Nets,128,118,W,10
Brooklyn Nets,Orlando Magic,118,128,L,-10
Sacramento Kings,San Antonio Spurs,120,129,L,-9
San Antonio Spurs,Sacramento Kings,129,120,W,9
Los Angeles Clippers,Los Angeles Lakers,101,103,L,-2
Los Angeles Lakers,Los Angeles Clippers,103,101,W,2
Utah Jazz,New Orleans Pelicans,106,104,W,2
New Orleans Pelicans,Utah Jazz,104,106,L,-2
Detroit Pistons,Philadelphia 76ers,106,124,L,-18
Philadelphia 76ers,Detroit Pistons,124,106,W,18
Denver Nuggets,Dallas Mavericks,97,113,L,-16
Dallas Mavericks,Denver Nuggets,113,97,W,16
Charlotte Hornets,Miami Heat,109,98,W,11
Miami Heat,Charlotte Hornets,98,109,L,-11
New York Knicks,Atlanta Hawks,136,131,W,5
Atlanta Hawks,New York Knicks,131,136,L,-5
Boston Celtics,Indiana Pacers,114,111,W,3
Indiana Pacers,Boston Celtics,111,114,L,-3
Cleveland Cavaliers,Chicago Bulls,103,108,L,-5
Chicago Bulls,Cleveland Cavaliers,108,103,W,5
Los Angeles Clippers,Golden State Warriors,131,107,W,24
Golden State Warriors,Los Angeles Clippers,107,131,L,-24
Dallas Mavericks,San Antonio Spurs,109,119,L,-10
San Antonio Spurs,Dallas Mavericks,119,109,W,10
New York Knicks,Washington Wizards,115,122,L,-7
Washington Wizards,New York Knicks,122,115,W,7
Orlando Magic,Memphis Grizzlies,120,115,W,5
Memphis Grizzlies,Orlando Magic,115,120,L,-5
Phoenix Suns,Portland Trail Blazers,105,121,L,-16
Portland Trail Blazers,Phoenix Suns,121,105,W,16
Brooklyn Nets,Los Angeles Lakers,104,102,W,2
